Event,Site,Date,EventDate,ECO,Round,White,Black,Result,Moves
World Championship 2nd,Havana CUB,1889.02.05,1889.01.20,C52,9,"Chigorin, Mikhail I","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 c1g5 f6d6 d4d5 c6d8 d1a4 b7b6 b1a3 a7a6 c4b3 a5c3 a1c1 d6b4 a3b5 b4b5 a4b5 a6b5 c1c3 c7c5 d5c6 d8c6 g5e7 e8e7 b3d5 f7f6 d5c6 d7c6 c3c6 c8d7 c6b6 h8b8 b6b8 a8b8 f1b1 d7c6 b1e1 b8a8 e1e2 a8a4 e2b2 a4e4 h2h3 e7d6 f3d2 e4a4 f2f3 f6f5 g1f2 a4a3 d2b1 a3d3 f2e2 e5e4 b1d2 d3a3 f3e4 f5e4 d2b1 a3g3 e2f2 g3d3 f2e2 h7h5 b1d2 d3g3 e2f2 g3a3 d2f1 c6d5 b2b5 a3a2 f2e3 a2g2 e3d4 d5c6 b5h5 g2a2 f1e3 a2d2 d4c4 c6d7 h5g5 d7e6 c4b4 d2d4 b4b5 d4d3 e3c4 e6c4 b5c4 d3d1 g5g7 e4e3 g7b7 d6e5 c4c3 e5e4 c3c2 d1f1
World Championship 2nd,Havana CUB,1889.02.08,1889.01.20,D07,10,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 d7d5 d2d4 c8g4 c2c4 b8c6 e2e3 e7e5 d1b3 g4f3 g2f3 e5d4 c4d5 c6e5 e3d4 e5d7 b1c3 d8e7 c1e3 e7b4 b3c2 g8f6 f1b5 a8d8 e1c1 a7a6 b5a4 f8e7 h1g1 g7g6 e3h6 b7b5 a4b3 d7b6 g1e1 e8d7 h6f4 d8c8 a2a3 b4a5 f4g5 f6g8 g5e7 g8e7 c3e4 c8b8 e4f6 d7d8 e1e7 d8e7 c2c7 b6d7 c7a5
World Championship 2nd,Havana CUB,1889.02.10,1889.01.20,C52,11,"Chigorin, Mikhail I","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 c1g5 f6d6 d4d5 c6d8 d1a4 b7b6 b1a3 a7a6 c4d3 a5c3 a1b1 c8b7 a3c4 d6c5 g5e3 b6b5 e3c5 b5a4 f1c1 d7d6 c5d6 c7d6 c4d6 e8d7 d6b7 c3d4 f3d4 e5d4 b7d8 h8d8 b1b7 d7d6 e4e5 d6d5 b7e7 a8c8 c1c8 d8c8 f2f3 c8c3 d3e4 d5c4 e7f7 c4b4 e5e6 d4d3 f7d7
World Championship 2nd,Havana CUB,1889.02.12,1889.01.20,D07,12,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 d7d5 d2d4 c8g4 c2c4 b8c6 e2e3 e7e6 b1c3 f8b4 c1d2 g8e7 f1d3 g4f5 d3f5 e7f5 c4d5 e6d5 d1b3 b4c3 d2c3 a8b8 e1g1 e8g8 a1c1 f8e8 c3d2 c6e7 c1c2 c7c6 f1c1 e7g6 d2e1 f5h4 f3h4 g6h4 f2f3 h4f5 e1f2 d8g5 c1e1 e8e6 e3e4 b8e8 c2e2 f5d6 e4e5 g5d8 g1f1 d6c4 b3b7 d8g5 b7b4 e6g6 f2g3 h7h5 b2b3 c4b6 b4d2 g5f5 d2c2 f5g5 c2d2 g5f5 f1g1 b6c8 d2c2 f5d7 g3h4 c8b6 c2d3 b6a8 f3f4 a8c7 h4f2 d7g4 f2e3 f7f5 e2f2 g6e6 d3e2 g4g6 f2f3 g6f7 f3g3 g8h7 e3f2 e6h6 e1c1 e8c8 g3c3 c7e6 e2a6 c8g8 c3c6 e6f4 c6h6 g7h6 f2g3 g8g6 a6f1 f4e6 f1d3 g6g4 h2h3 g4d4 d3a6 d4d2 g3e1 d2d4 c1c6 d4e4 c6e6 e4e1 g1h2 e1c1 e6f6 f7g7 a6e6 c1f1 f6f7
World Championship 2nd,Havana CUB,1889.02.16,1889.01.20,C52,13,"Chigorin, Mikhail I","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 d4d5 c6d8 c1g5 f6d6 d1a4 f7f6 g5c1 a5b6 b1a3 c7c6 c4b3 b6c5 f1d1 b7b5 a4a5 d8b7 a5a6 b7d8 a6a5 d8b7 a5a6 b7d8 a6a5 d8b7 a5a6 d6c7 d5c6 d7c6 a3b5 c6b5 a6b5 c8d7 b3f7 e8d8 a1b1 b7d6 b5b3 c7b6 b3c2 b6c6 f7b3 a7a5 c1e3 c5e3 f2e3 a5a4 b3d5 e7d5 d1d5 h8e8 b1d1 e8e6 c3c4 a8a7 c4c5 d6c8 f3d2 d8e8 d2c4 e6e7 c2e2 a4a3 e2h5 g7g6 h5h4 a7a4 d5d6 c8d6 c4d6 e8d8 h4f6 a4a5 f6f8 e7e8 d6e8 c6c5 f8c5 a5c5 e8f6 c5c7 g1f1 d8c8 d1d7 c7d7 f6d7 c8d7 f1e2 d7c6 e2d3 c6b5 d3c3 h7h5 c3b3 g6g5 b3a3 b5c4 a3b2 c4d3 a2a4 d3e2 a4a5 e2f2 a5a6 f2g2 a6a7 g2h2 a7a8q h5h4 a8g8 h4h3 g8g5 h2h1 g5e5
World Championship 2nd,Havana CUB,1889.02.19,1889.01.20,D07,14,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 d7d5 d2d4 c8g4 c2c4 b8c6 e2e3 e7e5 d1b3 g4f3 g2f3 g8e7 b1c3 e5d4 c3d5 a8b8 e3e4 e7g6 c1d2 f8d6 f3f4 e8g8 e1c1 c6e7 f4f5 e7d5 c4d5 g6f4 b3f3 d8h4 h1g1 h7h5 c1b1 c7c5 f3g3 f4g6 g3d6 h4e4 b1a1 e4f5 d6g3 f5d5 f2f4 b7b5 f1g2 d5d6 g3g5 f7f5 g2h3 b8b6 h3f5 f8f6 f5e4 d6d7 g5h5 g6f8 h5c5 f8e6 c5h5 d7d6 h5h7 g8f8 d1c1 b6a6 f4f5 e6c5 h7h8 f8e7 g1g7
World Championship 2nd,Havana CUB,1889.02.21,1889.01.20,C52,15,"Chigorin, Mikhail I","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 d4d5 c6d8 d1a4 a5b6 c1g5 f6d6 b1a3 c7c6 a1d1 d6b8 g5e7 e8e7 d5d6 e7f8 f3e5 f7f6 e5f3 b6c5 e4e5 b7b5 c4b5 c6b5 a3b5 d8e6 e5f6 g7f6 a4h4 f8f7 h4h5 f7g8 h5g4 g8f7 g4h5 f7g7 f3d4 c5d4 b5d4 h8f8 d1d3 c8b7 d4e6 d7e6 d3h3 b7e4 h5g4 e4g6 g4e6 b8b6 e6d5 a8d8 f1d1 f8e8 c3c4 d8d6 d5f3 d6d3 f3g4 e8e4
World Championship 2nd,Havana CUB,1889.02.23,1889.01.20,A85,16,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 f7f5 d2d4 e7e6 c2c4 g8f6 e2e3 f8e7 b1c3 e8g8 f1d3 d7d5 c1d2 c7c6 c4c5 b8d7 f3g5 d7b8 f2f3 d8c7 d1c2 f6h5 g5h3 e7h4 h3f2 e6e5 d4e5 c7e5 e1g1 h4e7 c3e2 b7b6 c5b6 a7b6 e2d4 c6c5 d4b5 b8c6 d2c3 e5b8 f1d1 c6e5 d3e2 h5f6 f2h3 f8d8 e2f1 e5f7 h3f4 d5d4 c3d2 d4e3 d2e3 d8d1 a1d1 b8e5 d1e1 g8f8 e3d2 e5b8 c2b3 f7d8 b3e3 b8b7 f1c4 b7d7 d2c3 a8a4 c4b3 a4a8 f4d5 f6d5 b3d5 a8a4 c3g7 f8g7 e3e7 d7e7 e1e7 g7f6 e7h7 a4b4 b5d6 c8e6 d5e6 f6e6 h7h6 e6e5 b2b3 b6b5 f3f4 e5d4 d6b5 b4b5 h6d6 d4c3 d6d8 b5a5 d8d5 c3b4 d5d2 b4c3 d2e2
World Championship 2nd,Havana CUB,1889.02.24,1889.01.20,C52,17,"Chigorin, Mikhail I","Steinitz, Wilhelm",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 d4d5 c6d8 d1a4 a5b6 c1g5 f6d6 b1a3 c7c6 a1d1 d6b8 g5e7 e8e7 d5d6 e7f8 a4b4 f7f6 c4b3 g7g6 a3c4 f8g7 a2a4 d8f7 c4b6 a7b6 b3f7 g7f7 f3e5 f7g7 e5c4 b6b5 a4b5 b8a7 b5b6 a7a4 b4c5 h8e8 f2f3 a4a2 c4e3 a2b3 d1b1 b3f7 e3c4 a8a4 b1b4 a4a2 c5d4 g7g8 c4e3 a2a3 b4a4 a3b3 f1a1 g8g7 a4a8 b3b5 a8b8 c6c5 d4d5 b5b6 a1a8 f7f8 e3c4 b6c6 f3f4 b7b5 b8b5 c8a6 a8e8 f8e8 b5c5 c6c5 d5c5 e8e4 c4e3 e4f4 h2h3 a6b7 c3c4 b7c6 c5a3 f4d4 g1h2 f6f5 c4c5 f5f4 e3c2 d4e5 a3a1 e5a1 c2a1 g7f6 a1c2 f6e5 c2b4 c6b7 h2g1 e5d4 c5c6 b7c8 c6d7 c8d7 g1f2 d4e5 b4d3 e5d6 d3f4 d6e5 f2e3 e5f6 f4d3 h7h6 e3f4 g6g5 f4e3 h6h5 d3c5 d7c6 g2g3 h5h4 g3g4 c6g2 c5e4 g2e4 e3e4 f6e6
World Championship 3rd,"New York, NY USA",1890.12.09,1890.12.09,D35,1,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 f2f3 b8c6 e2e3 f8e7 g1h3 e8g8 h3f2 f8e8 f1e2 e7b4 c1d2 e6e5 d4e5 e8e5 c4d5 f6d5 e3e4 d5c3 b2c3 b4a5 d1c2 e5e8 e1g1 a5b6 g1h1 d8e7 f2d3 c6e5 d3e5 e7e5 e2d3 e8d8 a1d1 c8e6 d2c1 e5a5 c3c4 b6d4 c1d2 a5h5 d2c1 c7c6 d3e2 h5a5
World Championship 3rd,"New York, NY USA",1890.12.11,1890.12.09,C62,2,"Gunsberg, Isidor A","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 c2c3 c8d7 e1g1 g8e7 d2d4 e7g6 d4d5 c6b8 b5d7 b8d7 b1a3 f8e7 a3c2 d7c5 d1e2 d8d7 b2b4 c5a4 c1d2 e8g8 c3c4 f7f5 e4f5 d7f5 a1c1 a8e8 f3e1 e7g5 g2g3 a4c3 d2c3 g5c1 e1g2 f5f3 e2f3 f8f3 g2e3 c1e3 c2e3 e8f8 g1g2 c7c6 c3b2 c6d5 e3d5 f3d3 b2c1 b7b5 d5e3 b5c4 e3c4 d3d4 c4e3 d4b4 f1d1 b4b1 c1a3 b1d1 e3d1 f8d8 f2f3 d6d5 d1c3 d5d4 c3e4 d8b8 h2h4 h7h5 g2f2 b8b1 a3d6 b1b2
World Championship 3rd,"New York, NY USA",1890.12.13,1890.12.09,D31,3,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 f2f3 f8b4 g1h3 b8d7 h3f4 e8g8 f1e2 d5c4 e2c4 e6e5 f4e2 e5d4 e3d4 d7b6 c4b3 c8f5 c1g5 b4e7 e1g1 f6d5 g5e7 d5e7 e2g3 f5g6 c3e4 b6d5 d1d2 b7b6 a1e1 d8d7 e1e2 a8d8 f1e1 e7f5 e4c3 f5g3 h2g3 d5c3 b2c3 f8e8 d2f4 e8e2 e1e2 g8f8 g1f2 d7d6
World Championship 3rd,"New York, NY USA",1890.12.15,1890.12.09,C50,4,"Gunsberg, Isidor A","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 c1e3 c5e3 f2e3 d7d6 e1g1 c6a5 c4b5 c7c6 b5a4 d8b6 d1d2 f6g4 f1e1 b6a6 c2c3 f7f6 a4c2 c6c5 b2b4 c5b4 c3b4 a5c6 c2b3 a6b6 a2a3 c8d7 b1c3 c6e7 h2h3 g4h6 d3d4 a8d8 e1f1 h8f8 d2f2 d8c8 a1c1 b6a6 a3a4 a6b6 b4b5 b6a5 f2b2 h6f7 f3d2 e5d4 e3d4 a5b6 c3e2 d6d5 e4d5 f7d6 b2a3 e8d8 a4a5 d6b5 a3e7 d8e7 a5b6 a7b6 d2c4 c8a8 c1a1 b5d6 c4b6 a8a1 f1a1 d7b5 e2f4 e7f7 f4e6 f8e8 b3a4 b5a4 a1a4 g7g6 b6c4 d6f5 a4b4 e8e7 g2g4 f5g3 c4d6 f7g8 d6b7 e7d7 b7c5 d7d5 g1f2 g3f5 g4f5 d5f5 f2g3 h7h5 b4b7 g6g5 c5e4 g8h8 b7g7 h5h4 g3g2 f5a5 e4f6 a5a2 g2g1
World Championship 3rd,"New York, NY USA",1890.12.18,1890.12.09,D20,5,"Steinitz, Wilhelm","Gunsberg, Isidor A",0-1,d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 d4e5 d8d1 e1d1 b8c6 f1c4 c6e5 c4b5 c7c6 b5e2 c8e6 b1c3 e8c8 d1c2 g8f6 g1f3 e5g4 h1f1 e6f5 c2b3 f6d7 e3e4 d7c5 b3c2 c5e4 f3h4 e4c3 c2c3 f5e6 f2f4 g4f6 f4f5 e6d5 g2g4 f8e7 c3c2 d5e4 c2b3 f6d7 g4g5 f7f6 e2g4 d7c5 b3a3 d8d3
World Championship 3rd,"New York, NY USA",1890.12.20,1890.12.09,D05,6,"Gunsberg, Isidor A","Steinitz, Wilhelm",0-1,d2d4 d7d5 e2e3 e7e6 f1d3 c7c5 b2b3 b8c6 g1f3 g8f6 e1g1 c8d7 c1b2 a8c8 c2c3 f8d6 b1d2 e6e5 d4e5 c6e5 f3e5 d6e5 d2f3 e5b8 h2h3 c5c4 d3c2 e8g8 d1d4 f8e8 a1d1 b7b5 b3b4 d8c7 f1e1 e8e7 g1f1 c8e8 d4h4 c7d6 d1d4 d6c6 e1d1 b8e5 d4d5 e5b8 a2a4 a7a6 a4a5 h7h6 d5d4 c6b7 f3e1 b8e5 d4d2 e5c7 d2e2 e7e5 f2f3 e5e3 e2e3 e8e3 b2c1 e3e5 h4f2 b7c6 c1e3 e5e8 f2d2 c6e6 e3d4 f6h5 d4f2 d7c6 c2b1 e6e5 e1c2 c6f3 g2f3 e5h2 d2d7 h2h1 f2g1 h1f3 g1f2 h5g3
World Championship 3rd,"New York, NY USA",1890.12.22,1890.12.09,E51,7,"Steinitz, Wilhelm","Gunsberg, Isidor A",1-0,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 f8b4 b1c3 e8g8 e1g1 b7b6 f3e5 c8b7 d1b3 b4c3 b2c3 b7d5 c4d5 e6d5 c1a3 f8e8 c3c4 c7c5 a1c1 f6e4 f1d1 c5d4 e3d4 f7f6 c4d5 f6e5 d5d6 g8h8 b3d5 e4f2 d1d2 b8d7 d2f2 d7f6 f2f6 g7f6 d6d7 e8g8 d4e5 g8g5 d5a8 d8a8 c1c8 g5g8 c8a8 g8a8 e5e6
World Championship 3rd,"New York, NY USA",1890.12.27,1890.12.09,C54,8,"Gunsberg, Isidor A","Steinitz, Wilhelm",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 c2c3 d7d6 c1e3 c5e3 f2e3 d8e7 e1g1 c6d8 b1d2 d8e6 d3d4 f6g4 d1e1 f7f6 f3h4 g4h6 h4f5 h6f5 e4f5 e6f8 e3e4 f8d7 e1h4 d7b6 h4h5 e8d8 c4b3 c8d7 a1e1 c7c6 e1e3 d8c7 e3g3 a8f8 d4e5 d6e5 h5e2 g7g5 g3d3 d7c8 f1d1 f8d8 d2f1 b6d7 b3c2 d7c5 d3d8 h8d8 d1d8 c7d8 b2b4 c5d7 c2b3 a7a5 a2a3 a5b4 a3b4 e7d6 f1e3 b7b5 g1f2 d8c7 e2d1
World Championship 3rd,"New York, NY USA",1890.12.29,1890.12.09,D30,9,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,g1f3 g8f6 d2d4 e7e6 e2e3 c7c5 c2c4 d7d5 d4c5 f8c5 b1c3 c5b4 c1d2 d5c4 f1c4 e8g8 e1g1 b8c6 d1e2 d8e7 e3e4 b4c3 d2c3 e6e5 e2e3 c8e6 c4e2 f6g4 e3c1 a8c8 h2h3 g4h6 c1e3 f7f6 a2a3 h6f7 b2b4 a7a6 a3a4 c6b4 c3b4 e7b4 f1b1 b4e7 b1b6 c8c7 a1b1 f8c8 f3e1 f7d8 e1d3 e7a3 g1h2 c7d7 b6e6 d8e6 e2g4 c8e8 g4e6 e8e6 d3c5 a3e3 f2e3 e6e7 c5d7 e7d7 h2g3 g8f7 a4a5 f7g6 g3f3 d7c7 b1b2 c7c5 b2a2 c5b5 f3e2 g6f7 e2f3 f7e6 h3h4 h7h5 a2a1 g7g6 g2g4 h5g4 f3g4 b5b4 g4f3 f6f5 e4f5 e6f5 a1h1 b4b5 e3e4 f5f6 h1d1 b5a5 d1d6 f6g7 d6d7 g7h6 d7b7 a5a3 f3f2 a3a5 b7b6 h6h5 b6c6 a5a4 f2f3 a4a3 f3f2 h5h6 c6e6 a3a5 f2g3 h6g7 g3g4 g7f7 e6b6 a5a1 b6b7 f7f6 b7b6 f6g7 b6e6 a6a5 e6e5 a5a4 e5a5 a4a3 g4g5 a3a2 a5a7 g7f8 a7a8 f8f7 a8a7 f7e6 a7a6 e6e5 a6a5 e5e4 a5a4 e4f3 a4a3 f3f2 g5g6 a1g1 g6f7 a2a1q a3a1 g1a1 h4h5 a1h1 f7g6 h1g1 g6f6
World Championship 3rd,"New York, NY USA",1891.01.02,1890.12.09,C54,10,"Gunsberg, Isidor A","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 c2c3 d7d6 b1d2 c6e7 d2f1 c7c6 d1e2 e8g8 h2h3 d6d5 c4b3 e7g6 g2g3 d5e4 d3e4 c8e6 f3g5 e6b3 a2b3 d8d7 c1e3 c5e3 e2e3 b7b6 f1d2 c6c5 g5f3 a8d8 d2c4 f8e8 c4d2 e8e7 e1f1 h7h5 f1g2 h5h4 g2h2 d7b5 c3c4 b5c6 a1c1 e7d7 c1c3 f6h5 h1g1 c6f6 d2f1 d7d1 e3e2 h4g3 f2g3 d1a1 f3d2 f6g5 c3f3 h5f6 f3d3 d8d3 e2d3 g6f8 d3e3 g5g6 g1g2 f8e6 g2e2 e6d4 e2f2 a1a2 d2f3 d4f3 e3f3 g6e4 f3e4 f6e4 f2e2 e4g5 h2g2 g5e6
World Championship 3rd,"New York, NY USA",1891.01.03,1890.12.09,D40,11,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,g1f3 d7d5 d2d4 g8f6 e2e3 e7e6 c2c4 f8e7 b1c3 e8g8 f1d3 c7c5 c4d5 c5d4 f3d4 f6d5 c3d5 d8d5 e1g1 b8c6 d4c6 d5c6 c1d2 e7f6 d1b3 c8d7 f1c1 c6a4 b3a4 d7a4 d2c3 f6c3 c1c3 a4c6 b2b4 a7a6 a2a4 f8d8 f2f3 g8f8 a1a3 h7h6 g1f2 d8c8 b4b5 c6d7 c3c8 a8c8 b5a6 b7a6 a4a5 d7b5 d3b5 a6b5 a3b3 c8b8 a5a6
World Championship 3rd,"New York, NY USA",1891.01.05,1890.12.09,C52,12,"Gunsberg, Isidor A","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8h6 c1g5 f6d6 d4d5 c6d8 d1a4 a5b6 b1a3 c7c6 c4e2 b6c7 a3c4 d6f8 d5d6 c7d6 c4b6 a8b8 a4a7 h6g4 f3h4 d8e6 e2g4 e6g5 h4f5 g5e6 f1d1 d6c7 b6a8 b8a8 a7a8 e8d8 d1d7 d8d7 a1d1
World Championship 3rd,"New York, NY USA",1891.01.07,1890.12.09,D37,13,"Steinitz, Wilhelm","Gunsberg, Isidor A",1-0,g1f3 g8f6 d2d4 e7e6 e2e3 f8b4 c2c3 b4e7 f1e2 e8g8 e1g1 d7d5 c3c4 b7b6 b1c3 c8b7 c4d5 e6d5 f3e5 f6d7 f2f4 d7e5 f4e5 c7c6 c1d2 b7a6 e2a6 b8a6 d1a4 a6b8 a1c1 f7f6 e5f6 e7f6 c3e2 f8e8 f1f3 d8e7 c1f1 e8c8 d2b4 e7e6 e2f4 e6e4 f4h5 b8d7 a4a6 e4e8 f3h3 f6g5 g1h1 d7f6 h5f6 g7f6 a6b7 e8g6 b7d7 g8h8 b4e7 c8g8 d7c6 a8c8 c6d5 g8g7 e7b4 g6d3 d5f3 c8c2 b4c3 c2e2 e3e4 d3e4 d4d5 e4g6 h3g3 g7f7 d5d6 h7h6 h2h4
World Championship 3rd,"New York, NY USA",1891.01.10,1890.12.09,C52,14,"Gunsberg, Isidor A","Steinitz, Wilhelm",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 h7h6 c4b5 g8e7 c1a3 e5d4 e4e5 f6e6 c3d4 a5b4 a3b2 d7d5 b1c3 e8g8 c3e2 e7g6 d1b3 b4a5 f3e1 c6e7 f2f4 e6b6 b2a3 f7f5 b3a4 c7c6 b5d3 b6d8 a4c2 b7b5 g1h1 a5b6 g2g4 a7a5 f1g1 b5b4 g4f5 c8f5 d3f5 f8f5 g1g6 b4a3 g6c6 e7c6 c2f5 c6d4 e2d4 b6d4 f5e6 g8h8 a1d1 d4c3 d1d5 d8b8
World Championship 3rd,"New York, NY USA",1891.01.12,1890.12.09,E14,15,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,g1f3 g8f6 d2d4 e7e6 e2e3 b7b6 c2c4 c8b7 b1c3 d7d5 c4d5 f6d5 f1b5 c7c6 b5d3 f8e7 e3e4 d5c3 b2c3 e8g8 e1g1 c6c5 c1e3 c5d4 c3d4 b8c6 a1c1 e7a3 c1c3 a3b4 c3c4 b4e7 d1a4 c6a5 c4c2 a8c8 f1c1 c8c2 c1c2 d8a8 f3d2 b7c6 d3b5 c6e4 d2e4 a8e4 c2c7 e7f6 c7a7 a5c6 a7a8 c6d4 a8f8 g8f8 a4a3 f8g8 a3a6 g7g5 e3d4 f6d4 b5f1 d4c5 a6e2 e4d4 g2g4 g8g7 e2f3 d4a4 f3c3 f7f6 c3c4 a4c6 c4e2 c6d6 e2f3 d6d4 f1d3
World Championship 3rd,"New York, NY USA",1891.01.15,1890.12.09,C52,16,"Gunsberg, Isidor A","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 h7h6 d1a4 a5b6 c4b5 g8e7 c1a3 e5d4 e4e5 f6g6 c3d4 e7d5 f1e1 d5f4 g2g3 g6g4 b1d2 f4h3 g1g2 h3g5 a3b2 c6e7 b5e2 g5e6 g2h1 g4f5 f3h4 f5f2 d2e4
World Championship 3rd,"New York, NY USA",1891.01.17,1890.12.09,D06,17,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,d2d4 d7d5 c2c4 g8f6 c4d5 f6d5 e2e4 d5f6 b1c3 e7e5 d4e5 d8d1 e1d1 f6g4 c3d5 e8d7 g1h3 c7c6 d5c3 g4e5 f2f4 e5g4 f1e2 d7e8 d1c2 f8c5 f4f5 g4e3 c2d3 e3g2 b2b4 c5b4 h1g1 g2h4 g1g7 h4g6 f5g6 h7g6 h3g5 b4e7 g7h7 h8h7 g5h7 f7f6 c1f4 e8f7 a1g1 b8a6 e4e5 c8f5 d3d2 e7b4 g1g3 a6c5 d2c1 b4a3 c1d1 g6g5 e2c4 c5e6 h7g5 f6g5 f4g5 a8g8 h2h4 b7b5 c3b5 c6b5 c4e6 f7e6 g3a3 e6e5 a3a7 f5d3 d1d2 d3f1 d2c3 g8c8 c3b4 c8g8 a7a5 e5e4 a5a6 e4f3 a6f6 f3g2 f6f5 f1e2 g5e3 e2d3 f5f2 g2g3 f2d2 g8g4 b4c5 d3c4 h4h5 g3f3 e3d4 g4g5 c5b4 g5h5 a2a4 f3e4 d4c5 c4d3 a4b5 h5h1 d2b2 e4d5 c5f2 h1b1
World Championship 3rd,"New York, NY USA",1891.01.21,1890.12.09,C52,18,"Gunsberg, Isidor A","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 d1a4 a5b6 c1g5 f6d6 b1a3 e5d4 a3b5 d6g6 c3d4 a7a6 d4d5 c6e5 f3e5 g6g5 e5f3 g5h6 c4b3 e8g8 a1c1 c7c6 b5d4 c6c5 d4e2 d7d6 e2g3 b6d8 e4e5 b7b5 a4a3 c5c4 e5d6 e7d5 b3c2 b5b4 a3a4 h6d6 c2e4 d5b6 a4c2 a8b8 e4h7 g8h8 c1d1 d6h6 h7f5 g7g6 f5c8 b8c8 c2b2 h6g7 b2b4 d8c7 d1d4 f8d8 d4h4 h8g8 f3g5 d8d7 h4e4 c4c3 f1e1 d7d8 g3e2 b6d5 b4a4 g7f6 g5f3 c7b6 e1c1 c3c2 h2h3 f6b2 a4b3 b2b3 a2b3 a6a5 e4c4 c8c4 b3c4 d5b4 g2g3 b6f2 g1f2 b4d3 f2e3 d3c1 e2c1 d8d1 c1e2 a5a4 f3d4 c2c1q e2c1 d1c1
World Championship 3rd,"New York, NY USA",1891.01.22,1890.12.09,D40,19,"Steinitz, Wilhelm","Gunsberg, Isidor A",1/2-1/2,d2d4 d7d5 e2e3 g8f6 c2c4 e7e6 b1c3 f8e7 g1f3 e8g8 f1e2 d5c4 e2c4 c7c5 e1g1 b8c6 d4c5 e7c5 d1d8 f8d8 c1d2 a7a6 a1c1 c5a7 f1d1 c8d7 d2e1 f6g4 e3e4 c6e5 f3e5 g4e5 c4e2 d7c6 g1f1 a7d4 f2f3 d8d7 e1f2 a8d8 f2d4 d7d4 d1d4 d8d4 c1d1 d4d1 c3d1 g8f8 f1e1 e5g6 d1e3 f8e7 e1d2 e7d6 d2c3 d6c5 g2g3 c6b5 b2b4 c5b6 e2d1 b6c7 a2a4 b5d7 f3f4 d7c6 c3d4 g6e7 d1b3 c6e8 e3c4 e7c6 d4c5 c6d8 c4b6 f7f6 b4b5 a6b5 a4b5 e8g6 b3c2 h7h5
World Championship 4th,Havana CUB,1892.01.01,1892.01.01,C52,1,"Chigorin, Mikhail I","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d7d6 d2d4 c8g4 c4b5 e5d4 c3d4 g4d7 c1b2 c6e7 b5d7 d8d7 b1a3 g8h6 a3c4 a5b6 a2a4 c7c6 e4e5 d6d5 c4d6 e8f8 b2a3 f8g8 a1b1 h6f5 d6f7 g8f7 e5e6 f7e6 f3e5 d7c8 f1e1 e6f6 d1h5 g7g6 a3e7 f6e7 e5g6 e7f6 g6h8 b6d4 b1b3 c8d7 b3f3 a8h8 g2g4 h8g8 h5h6 g8g6 f3f5
